Sample	Homo sapiens	Methanocaldococcus jannaschii	Hydrogenophilus thermoluteolus	Pegivirus C	Phaeodactylum tricornutum	Other	Unclassified	Bacillus subtilis	Allomeiothermus silvanus	Stenotrophomonas maltophilia	Pochonia chlamydosporia	Aspergillus puulaauensis	Thermus sp. NEB1569	Thalassiosira pseudonana
SRR8492652	1902214.0		921.0		251.0	65137.0	31149.0		328.0					
SRR8492653	1876178.0		395.0		125.0	103893.0	19269.0		140.0					
SRR8492654	1932187.0		184.0		101.0	50826.0	16651.0		51.0					
SRR8492655	1892227.0		974.0		211.0	78002.0	28231.0		355.0					
SRR8492656	1912752.0		394.0		142.0	64592.0	21975.0		145.0					
SRR8492657	1807299.0	5.0	3163.0		3469.0	119650.0	65067.0		1347.0					
SRR8492658	1584943.0	5366.0	1706.0		352.0	392745.0	14328.0		560.0					
SRR8492659	1895498.0	179.0	1017.0		676.0	89416.0	12929.0		285.0					
SRR8492660	1694193.0	1788.0	762.0		36.0	288644.0	14388.0		189.0					
SRR8492661	1813198.0	535.0	1141.0		554.0	169243.0	14975.0		354.0					
SRR8492662	1905726.0		1412.0		775.0	75736.0	15953.0		398.0					
SRR8492663	1934249.0		455.0		40.0	50294.0	14765.0		197.0					
SRR8492664	1660509.0	2.0	14926.0		1431.0	112773.0	205325.0		5034.0					
SRR8492665	1924094.0		300.0		43.0	56597.0	18859.0		107.0					
SRR8492666	1909167.0	1.0	1196.0		91.0	73427.0	15742.0		376.0					
SRR8492667	1935613.0		239.0		23.0	50423.0	13619.0		83.0					
SRR8492668	1911869.0	1.0	1070.0		104.0	59481.0	27136.0		339.0					
SRR8492669	562089.0	1.0	13024.0		469.0	54748.0	173564.0		4604.0					
SRR8492670	1886283.0		2488.0		123.0	91930.0	18414.0		762.0					
SRR8492671	1928713.0		895.0			52204.0	17850.0		337.0			1.0		
SRR8492672	1701117.0	1944.0	184.0			284642.0	12054.0		59.0					
SRR8492673	1853156.0	617.0	393.0			129710.0	16050.0		74.0					
SRR8492674	1812845.0	1234.0	271.0			173731.0	11840.0		79.0					
SRR8492675	1729367.0	5.0	10793.0			105633.0	150222.0		3936.0			44.0		
SRR8492676	1795669.0	2.0	4055.0			94920.0	103856.0		1471.0			27.0		
SRR8492677	1934514.0		167.0			53448.0	11819.0		51.0			1.0		
SRR8492678	1918781.0		200.0			65705.0	15240.0		74.0					
SRR8492679	1853461.0		137.0			133315.0	13036.0		51.0					
SRR8492680	1930068.0		121.0			58367.0	11402.0		39.0			3.0		
SRR8492681	1875581.0		2317.0			52255.0	34551.0		709.0			34587.0		
SRR8492682	1763352.0	14.0	16622.0			82113.0	130068.0		7815.0			16.0		
SRR8492683	1906155.0		518.0			79229.0	13891.0		206.0			1.0		
SRR8492684	1927936.0		68.0			56837.0	15143.0		16.0					
SRR8492685	1425459.0	1798.0	926.0			556267.0	15216.0		331.0			3.0		
SRR8492686	1758203.0	388.0	145.0			229748.0	11471.0		45.0					
SRR8492687	1495683.0	2382.0	1020.0			483014.0	17543.0		357.0			1.0		
SRR8492688	1953917.0		10.0			28726.0	17344.0		3.0					
SRR8492689	1221806.0	13788.0	13.0			753609.0	10769.0		15.0					
SRR8492690	1653107.0	7313.0	281.0			324613.0	14565.0		121.0					
SRR8492691	1465413.0	11064.0	377.0			506280.0	16679.0		186.0			1.0		
SRR8492692	1712322.0		747.0		38.0	270228.0	16480.0		185.0					
SRR8492693	1437596.0		1267.0		234.0	542077.0	18393.0		433.0					
SRR8492694	1971449.0		7.0		6.0	14112.0	14421.0		5.0					
SRR8492695	1984801.0				6.0	6874.0	8319.0							
SRR8492696	1604208.0		6601.0		5286.0	227518.0	140859.0		2836.0				12692.0	
SRR8492697	1849640.0		4942.0		417.0	97235.0	46100.0		1666.0					
SRR8492698	1898651.0		4118.0		431.0	63436.0	32149.0		1212.0				3.0	
SRR8492699	1910337.0		2555.0		195.0	50794.0	35252.0		865.0				2.0	
SRR8492700	1548587.0		12045.0		17692.0	265373.0	143406.0		4528.0				8369.0	
SRR8492701	1840161.0		6376.0		1565.0	111167.0	38674.0		2056.0				1.0	
SRR8492702	1895973.0		1855.0		120.0	67275.0	34246.0		529.0				2.0	
SRR8492703	1945869.0		476.0		32.0	39112.0	14397.0		114.0					
SRR8492704	1891163.0		2728.0		277.0	61637.0	43301.0		890.0				4.0	
SRR8492705	1788397.0		7499.0		1409.0	91028.0	108749.0		2913.0				5.0	
SRR8492706	1969462.0		32.0		14.0	24163.0	6319.0		10.0					
SRR8492707	1881141.0		301.0		21.0	102619.0	15847.0		71.0					
SRR8492708	1966352.0		20.0		8.0	23874.0	9743.0		3.0					
SRR8492709	1916519.0		991.0		75.0	66005.0	16080.0		328.0				2.0	
SRR8492710	1892152.0		3237.0		1113.0	44571.0	57909.0		996.0				22.0	
SRR8492711	1929191.0		1740.0		713.0	27079.0	40797.0		465.0				15.0	
SRR8492712	1760490.0		20551.0		3325.0	101884.0	110286.0		3461.0				3.0	
SRR8492713	1357891.0	6.0	18026.0		9103.0	299103.0	315751.0				120.0			
SRR8492714	1828585.0	2.0	15876.0		2269.0	78198.0	75059.0				11.0			
SRR8492715	1243843.0	7.0	297.0		5426.0	415609.0	306281.0				28537.0			
SRR8492716	1576969.0	5.0	12484.0		8915.0	179303.0	222270.0				54.0			
SRR8492717	1905813.0		4866.0		1141.0	39789.0	48378.0				13.0			
SRR8492718	1894664.0	1.0	3880.0		1246.0	41340.0	58850.0				19.0			
