sample_name	geo_string
GSM5657244	CRC-PKU-20-qia
GSM5657245	CRC-PKU-21-qia
GSM5657246	CRC-PKU-23-qia
GSM5657247	CRC-PKU-24-qia
GSM5657248	CRC-PKU-27-qia
GSM5657249	CRC-PKU-28-qia
GSM5657250	CRC-PKU-29-qia
GSM5657251	CRC-PKU-30-qia
GSM5657252	CRC-PKU-31-qia
GSM5657253	CRC-PKU-32-qia
GSM5657254	NC-PKU-10-qia
GSM5657255	NC-PKU-11-qia
GSM5657256	NC-PKU-12-qia
GSM5657257	NC-PKU-13-qia
GSM5657258	NC-PKU-14-qia
GSM5657259	NC-PKU-9-qia
GSM5657260	NC-PKU-mix0-qia
GSM5657261	NC-PKU-mix15-qia
GSM5657262	NC-PKU-mix19-qia
GSM5657263	NC-PKU-mix20-qia
GSM5657264	NC-PKU-mix21-qia
GSM5657265	NC-PKU-mix22-qia
GSM5657266	NC-PKU-mix23-qia
GSM5657267	NC-PKU-mix24-qia
GSM5657268	NC-PKU-mix25-qia
GSM5657269	NC-PKU-mix26-qia
GSM5657270	NC-PKU-mix27-qia
GSM5657271	NC-PKU-mix28-qia
GSM5657272	NC-PKU-mix29-qia
GSM5657273	NC-PKU-mix30-qia
GSM5657274	STAD-PKU-16-qia
GSM5657275	STAD-PKU-18-qia
GSM5657276	STAD-PKU-35-qia
GSM5657277	STAD-PKU-36-qia
GSM5657278	STAD-PKU-13-qia
GSM5657279	STAD-PKU-15-qia
GSM5657280	STAD-PKU-17-qia
GSM5657281	STAD-PKU-19-qia
GSM5657282	STAD-PKU-21-qia
GSM5657283	STAD-PKU-22-qia
GSM5657284	STAD-PKU-23-qia
GSM5657285	STAD-PKU-25-qia
GSM5657286	STAD-PKU-33-qia
GSM6503090	CRC-2384058-T
GSM6503091	CRC-2399129-T
GSM6503092	CRC-PKU-27-T
GSM6503093	CRC-PKU-28-T
GSM6503094	CRC-PKU-29-T
GSM6503095	CRC-PKU-30-T
GSM6503096	CRC-PKU-32-T
GSM6503097	CRC-PKU-34-T
GSM6503098	CRC-PKU-35-T
GSM6503099	CRC-PKU-36-T
GSM6503100	CRC-PKU-37-T
GSM6503101	CRC-PKU-38-T
GSM6503102	CRC-PKU-39-T
GSM6503103	CRC-PKU-40-T
GSM6503104	CRC-PKU-41-T
GSM6503105	CRC-2384058-N
GSM6503106	CRC-2399129-N
GSM6503107	CRC-PKU-27-N
GSM6503108	CRC-PKU-28-N
GSM6503109	CRC-PKU-29-N
GSM6503110	CRC-PKU-30-N
GSM6503111	CRC-PKU-32-N
GSM6503112	CRC-PKU-34-N
GSM6503113	CRC-PKU-35-N
GSM6503114	CRC-PKU-36-N
GSM6503115	CRC-PKU-37-N
GSM6503116	CRC-PKU-38-N
GSM6503117	CRC-PKU-39-N
GSM6503118	CRC-PKU-40-N
GSM6503119	CRC-PKU-41-N
GSM6762200	CRC-2415350-PBMC
GSM6762201	CRC-2415420-PBMC
GSM6762202	CRC-PKU-27-PBMC
GSM6762203	CRC-PKU-28-PBMC
GSM6762204	CRC-PKU-29-PBMC
GSM6762205	CRC-PKU-30-PBMC
GSM6762206	CRC-PKU-31-PBMC
GSM6762207	CRC-PKU-32-PBMC
GSM6762208	NC-PKU-10-PBMC
GSM6762209	NC-PKU-11-PBMC
GSM6762210	NC-PKU-12-PBMC
GSM6762211	NC-PKU-13-PBMC
GSM6762212	NC-PKU-14-PBMC
GSM6762213	NC-PKU-9-PBMC
